Shop ID,Total Number of Listings
Shop_4391,2899
Shop_18008,2896
Shop_62161,2895
Shop_3703,2892
Shop_4623,2890
Shop_69,2890
Shop_14326,2888
Shop_12464,2887
Shop_80402,2883
Shop_35206,2883
Shop_5925,2876
Shop_21695,2875
Shop_30671,2875
Shop_574,2874
Shop_127,2867
Shop_567,2866
Shop_97593,2861
Shop_4414,2860
Shop_67691,2858
Shop_5931,2856
Shop_41797,2853
Shop_3407,2850
Shop_1068,2848
Shop_1312,2843
Shop_29854,2842
Shop_303,2842
Shop_60596,2842
Shop_3494,2841
Shop_3988,2839
Shop_1461,2838
Shop_1115,2837
Shop_785,2834
Shop_463,2831
Shop_52692,2831
Shop_117710,2825
Shop_4950,2825
Shop_2063,2824
Shop_62,2817
Shop_12209,2814
Shop_922,2802
Shop_10249,2801
Shop_14525,2799
Shop_68743,2794
Shop_1661,2794
Shop_4944,2791
Shop_8614,2785
Shop_2124,2785
Shop_98,2783
Shop_5491,2775
Shop_23585,2775
Shop_695,2775
Shop_35055,2773
Shop_52886,2771
Shop_8357,2770
Shop_8236,2768
Shop_15620,2768
Shop_13017,2764
Shop_949,2760
Shop_14672,2758
Shop_44,2755
Shop_11409,2753
Shop_65287,2749
Shop_1008,2746
Shop_24185,2744
Shop_21909,2740
Shop_3483,2733
Shop_313,2733
Shop_7230,2732
Shop_23303,2731
Shop_2438,2731
Shop_24435,2728
Shop_2256,2728
Shop_4232,2727
Shop_438,2721
Shop_8064,2719
Shop_2485,2719
Shop_3248,2719
Shop_1143,2717
Shop_2086,2717
Shop_835,2717
Shop_52,2714
Shop_10494,2714
Shop_4812,2713
Shop_7369,2700
Shop_4267,2700
Shop_1729,2698
Shop_34288,2696
Shop_3174,2696
Shop_14131,2691
Shop_866,2691
Shop_7959,2684
Shop_63091,2681
Shop_1841,2681
Shop_347,2680
Shop_25082,2680
Shop_2910,2678
Shop_7165,2678
Shop_1077,2674
Shop_7177,2673
Shop_8126,2668
Shop_39361,2667
Shop_4098,2665
Shop_686,2665
Shop_84,2660
Shop_103135,2658
Shop_19395,2657
Shop_2773,2653
Shop_2374,2653
Shop_149,2651
Shop_21289,2651
Shop_16733,2650
Shop_24615,2650
Shop_47335,2650
Shop_80976,2649
Shop_2909,2649
Shop_220,2645
Shop_7626,2644
Shop_851,2643
Shop_1847,2643
Shop_69348,2642
Shop_12299,2639
Shop_3024,2637
Shop_694,2634
Shop_19222,2631
Shop_5785,2630
Shop_43839,2629
Shop_18338,2624
Shop_31778,2621
Shop_73741,2618
Shop_425,2617
Shop_613,2615
Shop_3967,2615
Shop_462,2612
Shop_101333,2609
Shop_10661,2608
Shop_2230,2606
Shop_757,2604
Shop_39778,2602
Shop_667,2599
Shop_32418,2598
Shop_3841,2598
Shop_32362,2595
Shop_3899,2595
Shop_7171,2593
Shop_7772,2593
Shop_2646,2589
Shop_1006,2588
Shop_20953,2588
Shop_12546,2587
Shop_356,2587
Shop_15048,2585
Shop_18714,2578
Shop_30296,2576
Shop_4861,2575
Shop_6556,2572
Shop_2741,2570
Shop_1912,2570
Shop_1711,2569
Shop_5080,2567
Shop_19988,2566
Shop_3651,2566
Shop_10969,2565
Shop_995,2565
Shop_3060,2564
Shop_50076,2564
Shop_2691,2563
Shop_1049,2563
Shop_5108,2562
Shop_50414,2562
Shop_21997,2561
Shop_2961,2558
Shop_24454,2556
Shop_26003,2556
Shop_1759,2555
Shop_43311,2553
Shop_9839,2551
Shop_1979,2550
Shop_435,2549
Shop_340,2549
Shop_25373,2548
Shop_386,2547
Shop_709,2546
Shop_2718,2545
Shop_1843,2544
Shop_17302,2538
Shop_3894,2536
Shop_11741,2535
Shop_2954,2534
Shop_14277,2533
Shop_2259,2532
Shop_6976,2527
Shop_21818,2525
Shop_603,2521
Shop_29926,2520
Shop_7620,2519
Shop_16817,2518
Shop_15174,2516
Shop_59402,2514
Shop_237,2512
Shop_5398,2510
Shop_13665,2507
Shop_44916,2502
Shop_48921,2499
Shop_9914,2499
Shop_29051,2498
Shop_387,2498
Shop_503,2498
Shop_64642,2494
Shop_10395,2491
Shop_187,2490
Shop_152,2488
Shop_10248,2485
Shop_5303,2482
Shop_66273,2481
Shop_18664,2479
Shop_442,2478
Shop_17031,2477
Shop_1093,2477
Shop_578,2476
Shop_3293,2474
Shop_18748,2473
Shop_34786,2472
Shop_38605,2471
Shop_22216,2470
Shop_21187,2469
Shop_43628,2468
Shop_51291,2467
Shop_2162,2464
Shop_2141,2463
Shop_2401,2460
Shop_48381,2458
Shop_1279,2457
Shop_2723,2453
Shop_5213,2452
Shop_453,2450
Shop_33050,2448
Shop_2083,2447
Shop_20392,2445
Shop_84765,2442
Shop_67767,2440
Shop_3023,2439
Shop_43587,2438
Shop_43303,2438
Shop_12142,2436
Shop_3470,2436
Shop_5355,2435
Shop_3027,2433
Shop_35287,2432
Shop_502,2432
Shop_22305,2430
Shop_16325,2425
Shop_5630,2422
Shop_1428,2420
Shop_52661,2419
Shop_8266,2419
Shop_1989,2418
Shop_13451,2418
Shop_810,2412
Shop_1148,2411
Shop_20484,2410
Shop_72125,2409
Shop_7634,2408
Shop_1002,2407
Shop_6281,2405
Shop_2107,2401
Shop_2252,2399
Shop_2305,2399
Shop_520,2398
Shop_44888,2396
Shop_16929,2389
Shop_3685,2382
Shop_15221,2381
Shop_1383,2380
Shop_11807,2377
Shop_12724,2373
Shop_9115,2373
Shop_3238,2373
Shop_7005,2370
Shop_12689,2370
Shop_5801,2368
Shop_56990,2367
Shop_3488,2367
Shop_16706,2366
Shop_35304,2365
Shop_9068,2365
Shop_23843,2364
Shop_20494,2363
Shop_6840,2362
Shop_10756,2361
Shop_64443,2361
Shop_41516,2360
Shop_7568,2360
Shop_25765,2359
Shop_54674,2358
Shop_991,2356
Shop_5274,2354
Shop_3323,2354
Shop_1354,2354
Shop_24064,2348
Shop_3575,2347
Shop_14764,2344
Shop_9691,2343
Shop_743,2341
Shop_1327,2340
Shop_17567,2339
Shop_960,2338
Shop_374,2337
Shop_3471,2332
Shop_3511,2332
Shop_10448,2331
Shop_40969,2330
Shop_2163,2330
Shop_8061,2328
Shop_484,2328
Shop_6683,2323
Shop_5573,2320
Shop_1196,2320
Shop_29945,2318
Shop_18253,2317
Shop_24715,2317
Shop_52803,2314
Shop_4176,2312
Shop_4459,2312
Shop_1290,2311
Shop_447,2309
Shop_6830,2309
Shop_38946,2308
Shop_7970,2306
Shop_4937,2305
Shop_19718,2304
Shop_593,2303
Shop_5814,2303
Shop_4205,2302
Shop_56401,2302
Shop_10039,2301
Shop_19768,2299
Shop_47198,2296
Shop_6505,2296
Shop_14998,2294
Shop_16851,2292
Shop_8113,2291
Shop_1864,2286
Shop_25246,2284
Shop_592,2284
Shop_23031,2284
Shop_26574,2278
Shop_553,2278
Shop_9149,2277
Shop_41198,2277
Shop_16366,2276
Shop_3219,2276
Shop_15911,2275
Shop_2573,2273
Shop_2756,2272
Shop_17525,2271
Shop_6409,2271
Shop_4096,2271
Shop_35047,2270
Shop_138555,2269
Shop_7851,2268
Shop_2595,2267
Shop_36487,2267
Shop_38741,2264
Shop_7715,2264
Shop_1935,2261
Shop_932,2260
Shop_4440,2260
Shop_3054,2260
Shop_16285,2258
Shop_3695,2256
Shop_144,2255
Shop_3775,2253
Shop_17145,2252
Shop_2547,2251
Shop_40349,2251
Shop_31064,2251
Shop_15669,2250
Shop_74530,2249
Shop_4142,2249
Shop_19414,2248
Shop_4546,2246
Shop_1941,2241
Shop_14571,2240
Shop_78209,2236
Shop_8436,2236
Shop_9120,2235
Shop_277,2235
Shop_9352,2234
Shop_2981,2233
Shop_348,2233
Shop_10915,2230
Shop_12377,2229
Shop_4352,2226
Shop_5973,2226
Shop_9955,2224
Shop_601,2223
Shop_2043,2223
Shop_3253,2221
Shop_63099,2220
Shop_26568,2220
Shop_41981,2219
Shop_1223,2219
Shop_1204,2218
Shop_3348,2216
Shop_19,2215
Shop_12939,2215
Shop_1754,2214
Shop_28380,2212
Shop_4844,2211
Shop_8549,2210
Shop_27425,2208
Shop_5401,2208
Shop_20634,2207
Shop_1933,2205
Shop_71554,2205
Shop_15524,2203
Shop_5439,2203
Shop_41666,2203
Shop_15025,2201
Shop_54472,2199
Shop_3078,2197
Shop_10542,2196
Shop_3442,2194
Shop_4365,2193
Shop_22912,2192
Shop_1664,2192
Shop_69815,2192
Shop_48045,2190
Shop_42014,2189
Shop_1730,2189
Shop_5003,2188
Shop_56756,2188
Shop_29571,2188
Shop_4279,2184
Shop_3034,2184
Shop_27753,2179
Shop_6524,2179
Shop_33018,2176
Shop_21299,2176
Shop_48980,2175
Shop_64649,2174
Shop_5874,2174
Shop_10508,2171
Shop_23957,2170
Shop_1656,2167
Shop_50865,2165
Shop_7421,2164
Shop_103,2164
Shop_12586,2164
Shop_600,2164
Shop_977,2163
Shop_1642,2163
Shop_1986,2162
Shop_34045,2161
Shop_29858,2160
Shop_28269,2159
Shop_5580,2159
Shop_8079,2159
Shop_14123,2157
Shop_4841,2156
Shop_17078,2155
Shop_84842,2155
Shop_17686,2154
Shop_4083,2154
Shop_1783,2152
Shop_20563,2151
Shop_16737,2146
Shop_40044,2145
Shop_22666,2141
Shop_4280,2140
Shop_65438,2140
Shop_294,2140
Shop_2722,2135
Shop_7294,2132
Shop_40079,2132
Shop_89508,2130
Shop_41294,2130
Shop_1086,2129
Shop_4976,2127
Shop_93,2126
Shop_48979,2124
Shop_13462,2123
Shop_10500,2123
Shop_2979,2123
Shop_774,2121
Shop_39301,2119
Shop_15352,2118
Shop_25763,2115
Shop_232,2115
Shop_296,2114
Shop_4399,2112
Shop_28238,2112
Shop_1127,2111
Shop_17367,2111
Shop_31672,2110
Shop_2700,2109
Shop_241,2108
Shop_65744,2107
Shop_39394,2106
Shop_396,2102
Shop_426,2102
Shop_1609,2101
Shop_2460,2100
Shop_1406,2100
Shop_5525,2098
Shop_15905,2097
Shop_9125,2097
Shop_2861,2097
Shop_5762,2096
Shop_2786,2091
Shop_2720,2090
Shop_15388,2087
Shop_2795,2087
Shop_1568,2083
Shop_10273,2082
Shop_8702,2082
Shop_14284,2081
Shop_6211,2080
Shop_30442,2080
Shop_448,2079
Shop_35836,2074
Shop_3617,2074
Shop_3059,2072
Shop_9550,2070
Shop_27431,2070
Shop_714,2069
Shop_1692,2068
Shop_5161,2065
Shop_61814,2063
