Shop ID,Average Price($)
Shop_113214,23.3952
Shop_25408,24.7344
Shop_124438,83.628
Shop_48987,5.7408
Shop_153793,
Shop_139755,58.7976
Shop_130874,377.58
Shop_140495,16.5048
Shop_133684,16.848
Shop_159164,28.2144
Shop_155293,
Shop_134056,57.4032
Shop_155106,
Shop_155107,
Shop_121088,33.264
Shop_157226,
Shop_78818,10.6176
Shop_88768,35.088
Shop_86358,7.5696
Shop_84772,27.7512
Shop_131022,27.156
Shop_128579,380.4912
Shop_114406,27.4728
Shop_160067,
Shop_128538,14.0808
Shop_48292,13.6392
Shop_154623,
Shop_106822,143.1576
Shop_71714,11.9088
Shop_142017,
Shop_115289,18.4464
Shop_99735,90.612
Shop_151741,
Shop_151742,
Shop_131206,34.0464
Shop_158835,196.332
Shop_150873,
Shop_121714,28.7568
Shop_160618,8570.9064
Shop_68277,32.1456
Shop_145679,18.6816
Shop_144386,36.5712
Shop_118778,24.3144
Shop_86926,40.716
Shop_87533,38.448
Shop_163148,9.3
Shop_78218,10.44
Shop_132091,311.3736
Shop_129571,7.8864
Shop_85664,5.172
Shop_136678,5.4936
Shop_121426,39.732
Shop_65828,39.6552
Shop_106811,17.0568
Shop_39427,7.416
Shop_75382,
Shop_111737,17.6496
Shop_82679,49.08
Shop_56490,16.9704
Shop_124904,412.2408
Shop_99973,263.8992
Shop_97991,14.124
Shop_127049,102.336
Shop_124651,9.792
Shop_149450,124.7376
Shop_94340,3.384
Shop_44162,10.5432
Shop_110240,21.108
Shop_137460,55.572
Shop_90741,25.9008
Shop_157602,6.2496
Shop_88935,193.6008
Shop_119092,61.6584
Shop_124993,19.83
Shop_115292,43.8696
Shop_150903,69.6984
Shop_141074,46.776
Shop_115331,23.484
Shop_151904,6.804
Shop_124899,21.7248
Shop_133071,30.2256
Shop_152150,
Shop_127780,91.128
Shop_129144,474.0696
Shop_123158,41.9088
Shop_75448,5.28
Shop_154148,11.568
Shop_144237,23.4648
Shop_150012,2.8872
Shop_125860,13.5768
Shop_123936,3.4392
Shop_146366,17.2704
Shop_134486,27.1272
Shop_53504,27.5256
Shop_133934,
Shop_134211,
Shop_143051,17.76
Shop_156015,30.4968
Shop_152898,24.4296
Shop_142327,12.9456
Shop_125904,3.8976
Shop_66381,38.5392
Shop_150918,
Shop_130185,123.972
Shop_133455,22.344
Shop_136299,
Shop_136300,
Shop_142976,
Shop_133967,6.168
Shop_90270,16.5456
Shop_139936,406.2384
Shop_107850,361.6272
Shop_138626,
Shop_112994,31.7616
Shop_142674,28.9248
Shop_132427,11.292
Shop_123889,34.116
Shop_107865,9.7176
Shop_101122,239.688
Shop_88018,221.268
Shop_86544,13.6392
Shop_141736,1107.9384
Shop_150201,8.1528
Shop_140995,11.7912
Shop_84447,33.804
Shop_84154,18.792
Shop_74424,64.9152
Shop_156275,7.308
Shop_146730,20.136
Shop_108314,87.9864
Shop_136794,21.516
Shop_100489,27.6744
Shop_157787,86.676
Shop_107838,31.1112
Shop_129695,15.1584
Shop_157912,55.5792
Shop_140791,
Shop_155731,38.088
Shop_124813,25.3032
Shop_135893,4.962
Shop_117199,27.3216
Shop_137303,6.96
Shop_137163,39.348
Shop_150598,
Shop_151727,18.3744
Shop_114785,25.2648
Shop_101421,37.4976
Shop_77063,25.2408
Shop_57884,11.4672
Shop_121737,42.9912
Shop_121380,120.4824
Shop_66427,9.0864
Shop_91775,16.3488
Shop_114079,21.7632
Shop_98904,2.5152
Shop_133946,37.4016
Shop_118514,16.6392
Shop_134327,32.637
Shop_147709,53.256
Shop_97715,25.2768
Shop_115064,56.196
Shop_107877,135.6192
Shop_118010,63.3552
Shop_132859,13.944
Shop_129166,626.0664
Shop_163316,16.344
Shop_99352,3.2064
Shop_48969,85.1592
Shop_126268,36.2904
Shop_164329,43.3344
Shop_133245,37.5432
Shop_105285,
Shop_123956,
Shop_113393,17.7
Shop_140908,3.696
Shop_138548,3.732
Shop_151180,4.2936
Shop_129240,12.2304
Shop_125407,14.7312
Shop_110249,25.116
Shop_144850,25.5216
Shop_130892,29.6616
Shop_162598,31.476
Shop_160835,37.9368
Shop_152038,71.556
Shop_143786,84.864
Shop_107270,
Shop_131978,
Shop_163782,
Shop_163901,
Shop_125845,
Shop_158318,71.8368
Shop_93546,8.5776
Shop_120176,9.9744
Shop_112535,22.452
Shop_64253,24.0216
Shop_127924,15.672
Shop_107924,272.3976
Shop_150266,
Shop_140467,3.9096
Shop_130507,7.9248
Shop_144810,10.224
Shop_127728,16.716
Shop_163013,20.7048
Shop_85135,18.528
Shop_110097,14.5728
Shop_151057,18.8424
Shop_98275,71.4552
Shop_116597,29.292
Shop_152688,26.364
Shop_134080,4.3848
Shop_157073,
Shop_41464,7.392
Shop_117652,
Shop_117716,167.4408
Shop_67979,31.704
Shop_67929,2.5584
Shop_54250,
Shop_85729,31.332
Shop_142002,22.1016
Shop_95379,42.7704
Shop_114533,27.3624
Shop_122752,49.7352
Shop_146248,8.2176
Shop_33812,4.5336
Shop_152170,
Shop_162868,
Shop_130087,28.7904
Shop_145507,81.0768
Shop_107521,128.0832
Shop_119597,19.944
Shop_42623,12.1104
Shop_104727,21.2112
Shop_160671,4.4472
Shop_98164,76.844
Shop_52714,53.712
Shop_133512,5.22
Shop_73191,6.072
Shop_51068,4.8168
Shop_136653,26.6256
Shop_103218,26.8296
Shop_118763,2.8776
Shop_131126,120.084
Shop_120514,250.5336
Shop_90027,15.708
Shop_152801,71.004
Shop_128220,31.2168
Shop_122036,11.9136
Shop_51531,15.252
Shop_97730,2.772
Shop_107312,22.1808
Shop_48284,24.1248
Shop_135648,135.756
Shop_132566,18.8184
Shop_130797,
Shop_35081,13.4832
Shop_120356,26.94
Shop_152786,
Shop_131415,9.408
Shop_147846,
Shop_147847,
Shop_120878,111.2064
Shop_142248,83.532
Shop_145923,1.7352
Shop_160299,26.9376
Shop_126968,29.184
Shop_131767,43.812
Shop_101854,16.152
Shop_139723,26.112
Shop_129211,3.912
Shop_96142,13.884
Shop_155435,19.6296
Shop_151231,192.9408
Shop_79321,47.796
Shop_124571,4.704
Shop_139396,
Shop_101406,47.6136
Shop_100882,102.1896
Shop_83840,9.4032
Shop_116208,38.2272
Shop_143116,31.7736
Shop_98415,21.7752
Shop_69300,83.1696
Shop_124585,52.8312
Shop_134720,
Shop_145753,40.08
Shop_88583,6.24
Shop_161179,6.9
Shop_163796,19.2096
Shop_56118,
Shop_138659,
Shop_143029,7.1592
Shop_97436,11.484
Shop_100391,26.9472
Shop_130542,
Shop_139151,
Shop_126246,18.276
Shop_118699,9.486
Shop_110462,11.352
Shop_87753,5.9232
Shop_72290,20.6976
Shop_163034,
Shop_138785,190.068
Shop_93395,8.3304
Shop_137611,
Shop_138953,43.1328
Shop_136598,16.32
Shop_122328,32.1816
Shop_89851,111.8496
Shop_130134,2073.2376
Shop_55285,9.612
Shop_152747,
Shop_146767,
Shop_157797,
Shop_132709,4.512
Shop_158489,
Shop_163054,
Shop_141770,35.1456
Shop_69681,19.2936
Shop_141818,
Shop_151592,
Shop_108320,36.0216
Shop_76471,3.8112
Shop_138433,6.672
Shop_147761,6.8904
Shop_117946,13.7952
Shop_66553,21.5112
Shop_158480,34.1568
Shop_146818,45.2544
Shop_143374,56.3472
Shop_136268,
Shop_153799,
Shop_157893,
Shop_119838,
Shop_146284,67.6848
Shop_148850,
Shop_137350,7.6248
Shop_130159,35.0928
Shop_119169,25.068
Shop_150845,117.8328
Shop_144845,193.8744
Shop_162990,
Shop_32399,3.1152
Shop_104446,19.6344
Shop_127490,30.924
Shop_107857,4.176
Shop_134270,23.916
Shop_80385,11.088
Shop_134703,
Shop_136907,25.764
Shop_138473,16.548
Shop_135975,15.8136
Shop_91766,19.4208
Shop_94201,12.828
Shop_103121,19.2168
Shop_85855,65.6376
Shop_52376,
Shop_110429,22.4688
Shop_112394,11.232
Shop_96529,9.6048
Shop_161678,
Shop_145747,
Shop_133215,6.3888
Shop_112945,31.8216
Shop_142742,2.6688
Shop_145345,6.852
Shop_126797,5.8056
Shop_141569,22.2648
Shop_81649,4.0632
Shop_119835,1.1568
Shop_67488,8.4864
Shop_92291,9.8904
Shop_159389,1.992
Shop_154928,
Shop_82778,9.3072
Shop_118929,3.9552
Shop_113382,11.3208
Shop_122198,28.5936
Shop_142784,5.9904
Shop_103567,56.8176
Shop_116738,50.4072
Shop_154554,
Shop_154555,
Shop_160638,2.664
Shop_140601,26.3784
Shop_154557,6.66
Shop_124078,31.2504
Shop_117874,22.98
Shop_64874,18.3864
Shop_143661,1.224
Shop_144283,3321.3696
Shop_110444,77.3976
Shop_158016,8.5368
Shop_145657,36.3576
Shop_140836,2036.412
Shop_163457,3.0408
Shop_156975,
Shop_122526,3.804
Shop_144588,12.0864
Shop_53376,3.2496
Shop_151312,26.7192
Shop_113260,405.768
Shop_149781,34.6584
Shop_138284,
Shop_159191,33.9768
Shop_153427,
Shop_65671,108.3984
Shop_103621,28.092
Shop_100329,242.04
Shop_107131,246.0384
Shop_88442,22.4232
Shop_97335,52.3656
Shop_137934,
Shop_106887,26.532
Shop_88756,55.176
Shop_135231,82.5888
Shop_36425,69.9888
Shop_118705,59.8968
Shop_124545,17.9472
Shop_94202,27.6624
Shop_112679,32.016
Shop_148435,76.2624
Shop_149852,
Shop_118045,61.8432
Shop_139812,
Shop_104532,3.708
Shop_122691,
Shop_147019,5.3736
Shop_87740,34.332
Shop_126935,31.74
Shop_121007,52.2408
Shop_107702,40.6176
Shop_159043,151.512
Shop_141867,
Shop_32803,20.88
Shop_129892,166.7448
Shop_81352,19.9536
Shop_99929,21.9336
Shop_54398,21.5184
Shop_123357,13.3008
Shop_46209,5.22
Shop_144123,
Shop_133534,
Shop_87220,18.372
Shop_119926,27.684
Shop_125412,22.3512
Shop_136713,55.2792
Shop_112230,64.8072
Shop_154443,2.7312
Shop_163175,
Shop_132678,8.4936
Shop_140418,29.544
Shop_145938,130.18
Shop_162779,
Shop_105421,13.3488
Shop_137375,28.3896
Shop_111757,2.2296
Shop_151840,14.076
Shop_136540,
Shop_90181,17.1888
Shop_74977,167.7984
Shop_122445,24.108
Shop_144718,36.564
Shop_100757,77.28
Shop_140476,22.5816
Shop_136314,5.844
Shop_141966,
Shop_148231,16.668
Shop_112850,18.744
Shop_77283,21.7992
Shop_30728,4.632
Shop_135799,5.6232
Shop_99677,15.648
Shop_158278,15.66
Shop_146883,28.5408
Shop_97512,66.6336
Shop_81695,15.3216
Shop_164328,40.2456
Shop_124228,37.2
Shop_23095,7.2
Shop_137773,18.216
Shop_143701,
Shop_137805,20.6712
Shop_118038,39.0216
Shop_133300,2.8368
Shop_65287,10.5336
Shop_161389,
Shop_127593,67.0776
Shop_116527,67.9224
Shop_163322,
Shop_153630,
Shop_70421,9.732
Shop_150077,1233.5808
Shop_143412,22.596
Shop_116868,16.22
Shop_95114,14.6088
Shop_156287,478.3896
Shop_159000,50.472
Shop_110765,90.4272
Shop_131967,3.7848
Shop_128855,2.844
Shop_132494,6.0528
Shop_124447,8.064
Shop_135187,22.596
Shop_126765,28.3032
Shop_145604,7.7448
Shop_130362,45.0048
Shop_136977,30.6672
Shop_131055,33.96
Shop_137112,6.156
Shop_80918,17.88
Shop_25699,11.136
Shop_136503,27.9864
Shop_117455,43.7856
Shop_136256,34.132
Shop_140485,
Shop_148632,7.6464
Shop_118801,250.0296
Shop_150686,5.5512
Shop_155020,
Shop_118030,3.096
Shop_67260,10.6392
Shop_81389,23.3496
Shop_137505,
Shop_153492,3162.1824
Shop_128942,2.8968
Shop_141549,31.344
Shop_156249,38.076
Shop_112382,41.9688
Shop_161355,7.8888
Shop_126450,58.6704
Shop_133313,
Shop_90739,6.8904
Shop_146645,309.8952
Shop_125096,53.9616
Shop_156447,17.9592
Shop_68415,32.2968
Shop_129897,
Shop_129898,
Shop_139833,
Shop_106018,61.812
Shop_117600,13.3224
Shop_104134,30.288
Shop_108315,47.8584
Shop_70570,2.5056
Shop_142029,3.9816
Shop_141667,4.9464
Shop_138705,4.728
Shop_141317,23.484
Shop_107952,16.2384
Shop_105278,23.0112
Shop_98611,26.112
Shop_96867,234.972
Shop_158178,
Shop_158179,
Shop_158180,
Shop_159122,
Shop_146859,
Shop_154118,39.684
Shop_89239,34.68
Shop_151446,
Shop_110615,3.876
Shop_108545,43.2408
Shop_91511,6.7248
Shop_74111,15.0024
Shop_144139,8.8704
Shop_98931,129.1104
Shop_87983,12.096
Shop_124702,4.596
Shop_82992,3.36
Shop_150743,1.908
Shop_150744,1.908
Shop_92912,80.0976
Shop_103142,84.3648
Shop_149111,189.0216
Shop_163035,
Shop_121515,19.836
Shop_154981,19.0056
Shop_124624,23.3904
Shop_128281,10.572
Shop_89170,27.1632
Shop_150697,190.068
Shop_150985,
Shop_136051,21.144
Shop_85920,17.5464
Shop_140456,32.916
Shop_97095,20.7576
