Shop ID,Total Number of Sales
Shop_74424,653
Shop_156275,
Shop_146730,2
Shop_108314,108
Shop_136794,9
Shop_100489,173
Shop_157787,
Shop_107838,111
Shop_129695,20
Shop_157912,
Shop_140791,5
Shop_155731,
Shop_124813,32
Shop_135893,10
Shop_117199,58
Shop_137303,9
Shop_137163,9
Shop_150598,1
Shop_151727,
Shop_114785,69
Shop_101421,164
Shop_77063,577
Shop_57884,1352
Shop_121737,41
Shop_121380,42
Shop_66427,938
Shop_91775,279
Shop_114079,72
Shop_98904,189
Shop_133946,13
Shop_118514,53
Shop_134327,12
Shop_147709,1
Shop_97715,202
Shop_115064,67
Shop_107877,111
Shop_118010,55
Shop_132859,14
Shop_129166,21
Shop_163316,
Shop_99352,184
Shop_48969,1995
Shop_126268,28
Shop_164329,
Shop_133245,14
Shop_105285,130
Shop_123956,34
Shop_113393,76
Shop_140908,5
Shop_138548,7
Shop_151180,1
Shop_129240,21
Shop_125407,30
Shop_110249,95
Shop_144850,3
Shop_130892,18
Shop_162598,
Shop_160835,
Shop_152038,
Shop_143786,3
Shop_107270,115
Shop_131978,16
Shop_163782,
Shop_163901,
Shop_125845,29
Shop_158318,
Shop_93546,254
Shop_120176,46
Shop_112535,81
Shop_64253,1033
Shop_127924,24
Shop_107924,110
Shop_150266,1
Shop_140467,5
Shop_130507,18
Shop_144810,3
Shop_127728,24
Shop_163013,
Shop_85135,391
Shop_110097,96
Shop_151057,1
Shop_98275,196
Shop_116597,60
Shop_152688,
Shop_134080,12
Shop_157073,
Shop_41464,2797
Shop_117652,56
Shop_117716,56
Shop_67979,878
Shop_67929,880
Shop_54250,1584
Shop_85729,379
Shop_142002,4
Shop_95379,230
Shop_114533,70
Shop_122752,38
Shop_146248,2
Shop_33812,4015
Shop_152170,
Shop_162868,
Shop_130087,19
Shop_145507,2
Shop_107521,113
Shop_119597,48
Shop_42623,2655
Shop_104727,135
Shop_160671,
Shop_98164,197
Shop_52714,1696
Shop_133512,13
Shop_73191,693
Shop_51068,1819
Shop_136653,9
Shop_103218,147
Shop_118763,52
Shop_131126,17
Shop_120514,45
Shop_90027,306
Shop_152801,
Shop_128220,23
Shop_122036,40
Shop_51531,1785
Shop_97730,202
Shop_107312,115
Shop_48284,2056
Shop_135648,10
Shop_132566,15
Shop_130797,18
Shop_35081,3772
Shop_120356,46
Shop_152786,
Shop_131415,17
Shop_147846,1
Shop_147847,1
Shop_120878,44
Shop_142248,4
Shop_145923,2
Shop_160299,
Shop_126968,26
Shop_131767,16
Shop_101854,160
Shop_139723,6
Shop_129211,21
Shop_96142,221
Shop_155435,
Shop_151231,1
Shop_79321,519
Shop_124571,32
Shop_139396,6
Shop_101406,164
Shop_100882,169
Shop_83840,416
Shop_116208,62
Shop_143116,4
Shop_98415,194
Shop_69300,825
Shop_124585,32
Shop_134720,12
Shop_145753,2
Shop_88583,328
Shop_161179,
Shop_163796,
Shop_56118,1457
Shop_138659,7
Shop_143029,4
Shop_97436,205
Shop_100391,174
Shop_130542,18
Shop_139151,7
Shop_126246,28
Shop_118699,52
Shop_110462,93
Shop_87753,342
Shop_72290,721
Shop_163034,
Shop_138785,7
Shop_93395,256
Shop_137611,8
Shop_138953,7
Shop_136598,9
Shop_122328,39
Shop_89851,308
Shop_130134,19
Shop_55285,1512
Shop_152747,
Shop_146767,2
Shop_157797,
Shop_132709,15
Shop_158489,
Shop_163054,
Shop_141770,4
Shop_69681,811
Shop_141818,4
Shop_151592,
Shop_108320,108
Shop_76471,593
Shop_138433,7
Shop_147761,1
Shop_117946,55
Shop_66553,934
Shop_158480,
Shop_146818,2
Shop_143374,3
Shop_136268,10
Shop_153799,
Shop_157893,
Shop_119838,47
Shop_146284,2
Shop_148850,1
Shop_137350,8
Shop_130159,19
Shop_119169,50
Shop_150845,1
Shop_144845,3
Shop_162990,
Shop_32399,4307
Shop_104446,137
Shop_127490,25
Shop_107857,111
Shop_134270,12
Shop_80385,493
Shop_134703,12
Shop_136907,9
Shop_138473,7
Shop_135975,10
Shop_91766,279
Shop_94201,245
Shop_103121,148
Shop_85855,377
Shop_52376,1719
Shop_110429,93
Shop_112394,82
Shop_96529,216
Shop_161678,
Shop_145747,2
Shop_133215,14
Shop_112945,79
Shop_142742,4
Shop_145345,2
Shop_126797,26
Shop_141569,5
Shop_81649,464
Shop_119835,47
Shop_67488,897
Shop_92291,271
Shop_159389,
Shop_154928,
Shop_82778,439
Shop_118929,51
Shop_113382,76
Shop_122198,39
Shop_142784,4
Shop_103567,144
Shop_116738,60
Shop_154554,
Shop_154555,
Shop_160638,
Shop_140601,5
Shop_154557,
Shop_124078,34
Shop_117874,55
Shop_64874,1006
Shop_143661,3
Shop_144283,3
Shop_110444,93
Shop_158016,
Shop_145657,2
Shop_140836,5
Shop_163457,
Shop_156975,
Shop_122526,38
Shop_144588,3
Shop_53376,1647
Shop_151312,
Shop_113260,77
Shop_149781,1
Shop_138284,7
Shop_159191,
Shop_153427,
Shop_65671,971
Shop_103621,144
Shop_100329,175
Shop_107131,116
Shop_88442,330
Shop_97335,206
Shop_137934,8
Shop_106887,118
Shop_88756,326
Shop_135231,11
Shop_36425,3547
Shop_118705,52
Shop_124545,32
Shop_94202,245
Shop_112679,80
Shop_148435,1
Shop_149852,1
Shop_118045,54
Shop_139812,6
Shop_104532,137
Shop_122691,38
Shop_147019,2
Shop_87740,342
Shop_126935,26
Shop_121007,43
Shop_107702,112
Shop_159043,
Shop_141867,4
Shop_32803,4218
Shop_129892,20
Shop_81352,471
Shop_99929,178
Shop_54398,1573
Shop_123357,36
Shop_46209,2258
Shop_144123,3
Shop_133534,13
Shop_87220,351
Shop_119926,47
Shop_125412,30
Shop_136713,9
Shop_112230,83
Shop_154443,
Shop_163175,
Shop_132678,15
Shop_140418,5
Shop_145938,2
Shop_162779,
Shop_105421,129
Shop_137375,8
Shop_111757,86
Shop_151840,
Shop_136540,9
Shop_90181,303
Shop_74977,637
Shop_122445,39
Shop_144718,3
Shop_100757,170
Shop_140476,5
Shop_136314,10
Shop_141966,4
Shop_148231,1
Shop_112850,79
Shop_77283,572
Shop_30728,4701
Shop_135799,10
Shop_99677,181
Shop_158278,
Shop_146883,2
Shop_97512,204
Shop_81695,463
Shop_164328,
Shop_124228,33
Shop_23095,7165
Shop_137773,8
Shop_143701,3
Shop_137805,8
Shop_118038,54
Shop_133300,14
Shop_65287,988
Shop_161389,
Shop_127593,25
Shop_116527,61
Shop_163322,
Shop_153630,
Shop_70421,783
Shop_150077,1
Shop_143412,3
Shop_116868,59
Shop_95114,234
Shop_156287,
Shop_159000,
Shop_110765,91
Shop_131967,16
Shop_128855,22
Shop_132494,15
Shop_124447,33
Shop_135187,11
Shop_126765,27
Shop_145604,2
Shop_130362,19
Shop_136977,9
Shop_131055,17
Shop_137112,9
Shop_80918,481
Shop_25699,6157
Shop_136503,9
Shop_117455,57
Shop_136256,10
Shop_140485,5
Shop_148632,1
Shop_118801,51
Shop_150686,1
Shop_155020,
Shop_118030,55
Shop_67260,906
Shop_81389,470
Shop_137505,8
Shop_153492,
Shop_128942,22
Shop_141549,5
Shop_156249,
Shop_112382,82
Shop_161355,
Shop_126450,27
Shop_133313,14
